"Passengers (All Carriers - Chicago, IL: Chicago Midway International (Origin Airport))",,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"668,576","6,823","675,399"
2002,11,"592,723","8,747","601,470"
2002,12,"666,624","14,832","681,456"
2002,TOTAL,"7,765,262","101,117","7,866,379"
2003,1,"581,017","12,483","593,500"
2003,2,"550,601","11,072","561,673"
2003,3,"709,773","20,210","729,983"
2003,4,"689,931","10,000","699,931"
2003,5,"737,701","6,849","744,550"
2003,6,"810,021","8,177","818,198"
2003,7,"836,571","7,816","844,387"
2003,8,"796,213","7,767","803,980"
2003,9,"683,014","3,986","687,000"
2003,10,"768,736","6,035","774,771"
2003,11,"683,626","7,649","691,275"
2003,12,"712,988","12,106","725,094"
2003,TOTAL,"8,560,192","114,150","8,674,342"
2004,1,"578,770","12,512","591,282"
2004,2,"632,643","12,153","644,796"
2004,3,"803,440","12,415","815,855"
2004,4,"804,632","11,737","816,369"
2004,5,"782,278","7,299","789,577"
2004,6,"873,121","6,651","879,772"
2004,7,"909,646","13,121","922,767"
2004,8,"865,128","11,899","877,027"
2004,9,"689,755","4,993","694,748"
2004,10,"768,195","6,974","775,169"
2004,11,"680,355","3,294","683,649"
2004,12,"698,320","12,160","710,480"
2004,TOTAL,"9,086,283","115,208","9,201,491"
2005,1,"513,752","9,595","523,347"
2005,2,"469,204","7,344","476,548"
2005,3,"685,410","9,876","695,286"
2005,4,"601,516","7,663","609,179"
2005,5,"708,030","7,627","715,657"
2005,6,"776,629","9,718","786,347"
2005,7,"861,682","8,495","870,177"
2005,8,"838,200","7,513","845,713"
2005,9,"705,393","4,371","709,764"
2005,10,"751,434","4,549","755,983"
2005,11,"694,492","4,011","698,503"
2005,12,"664,311","6,869","671,180"
2005,TOTAL,"8,270,053","87,631","8,357,684"
2006,1,"569,469","5,709","575,178"
2006,2,"586,087","5,064","591,151"
2006,3,"772,062","7,462","779,524"
2006,4,"733,661","7,829","741,490"
2006,5,"774,583","6,803","781,386"
2006,6,"841,072","9,529","850,601"
2006,7,"870,203","9,502","879,705"
2006,8,"840,623","8,209","848,832"
2006,9,"672,253","4,533","676,786"
2006,10,"758,766","5,196","763,962"
2006,11,"711,332","6,357","717,689"
2006,12,"683,509","8,483","691,992"
2006,TOTAL,"8,813,620","84,676","8,898,296"
2007,1,"587,793","4,051","591,844"
2007,2,"554,373","3,213","557,586"
2007,3,"770,006","4,753","774,759"
2007,4,"734,131","3,476","737,607"
2007,5,"802,965","3,014","805,979"
2007,6,"893,070","4,758","897,828"
2007,7,"921,877","5,139","927,016"
2007,8,"895,669","4,615","900,284"
2007,9,"713,632","3,193","716,825"
2007,10,"787,574","3,303","790,877"
2007,11,"727,010","4,411","731,421"
2007,12,"672,721","6,421","679,142"
2007,TOTAL,"9,060,821","50,347","9,111,168"
2008,1,"564,482","3,971","568,453"
2008,2,"572,386","4,014","576,400"
2008,3,"752,688","7,410","760,098"
2008,4,"700,678",217,"700,895"
2008,5,"741,372",,"741,372"
2008,6,"754,642",13,"754,655"
2008,7,"745,151",20,"745,171"
2008,8,"731,534",14,"731,548"
2008,9,"599,399",7,"599,406"
2008,10,"682,583",21,"682,604"
2008,11,"559,568",796,"560,364"
2008,12,"580,343","1,356","581,699"
2008,TOTAL,"7,984,826","17,839","8,002,665"
2009,1,"486,504","1,182","487,686"
2009,2,"485,753","1,300","487,053"
2009,3,"705,001","1,369","706,370"
2009,4,"692,143","1,457","693,600"
2009,5,"713,732","2,199","715,931"
2009,6,"765,047","2,502","767,549"
2009,7,"831,802","2,735","834,537"
2009,8,"775,851","3,255","779,106"
2009,9,"683,869","2,976","686,845"
2009,10,"733,522","3,420","736,942"
2009,11,"665,579","3,080","668,659"
2009,12,"674,629","3,020","677,649"
2009,TOTAL,"8,213,432","28,495","8,241,927"
2010,1,"556,933","1,802","558,735"
2010,2,"518,206","1,939","520,145"
2010,3,"748,169","2,805","750,974"
2010,4,"714,222","3,372","717,594"
2010,5,"746,837","4,577","751,414"
2010,6,"782,492","4,523","787,015"
2010,7,"820,999","4,949","825,948"
2010,8,"779,301","5,449","784,750"
2010,9,"673,572","4,412","677,984"
2010,10,"747,263","4,417","751,680"
2010,11,"694,424","4,198","698,622"
2010,12,"674,880","5,549","680,429"
2010,TOTAL,"8,457,298","47,992","8,505,290"
2011,1,"593,439","4,382","597,821"
2011,2,"528,504","2,485","530,989"
2011,3,"783,345","6,373","789,718"
2011,4,"742,606","6,885","749,491"
2011,5,"810,672","9,725","820,397"
2011,6,"841,678","12,247","853,925"
2011,7,"869,629","11,731","881,360"
2011,8,"822,929","12,575","835,504"
2011,9,"736,397","9,941","746,338"
2011,10,"804,827","10,868","815,695"
2011,11,"738,936","12,968","751,904"
2011,12,"728,751","17,288","746,039"
2011,TOTAL,"9,001,713","117,468","9,119,181"
2012,1,"592,997","12,590","605,587"
2012,2,"586,156","4,848","591,004"
2012,3,"806,223","10,998","817,221"
2012,4,"757,464","12,010","769,474"
2012,5,"815,995","14,354","830,349"
2012,6,"873,087","19,471","892,558"
2012,7,"894,452","21,883","916,335"
2012,8,"859,003","21,811","880,814"
2012,9,"745,783","16,622","762,405"
2012,10,"832,399","17,323","849,722"
2012,11,"738,511","15,750","754,261"
2012,12,"728,286","20,484","748,770"
2012,TOTAL,"9,230,356","188,144","9,418,500"
2013,1,"605,536","15,524","621,060"
2013,2,"582,481","14,009","596,490"
2013,3,"814,401","20,107","834,508"
2013,4,"768,085","19,149","787,234"
2013,5,"876,625","25,187","901,812"
2013,6,"923,695","25,968","949,663"
2013,7,"935,133","25,734","960,867"
2013,8,"895,343","26,754","922,097"
2013,9,"804,624","21,623","826,247"
2013,10,"850,112","21,642","871,754"
2013,11,"758,178","21,109","779,287"
2013,12,"817,687","25,278","842,965"
2013,TOTAL,"9,631,900","262,084","9,893,984"
2014,1,"554,864","18,873","573,737"
2014,2,"587,769","17,000","604,769"
2014,3,"845,290","25,744","871,034"
2014,4,"838,066","24,478","862,544"
2014,5,"900,375","26,869","927,244"
2014,6,"954,824","27,009","981,833"
2014,7,"1,004,713","26,249","1,030,962"
2014,8,"963,411","24,831","988,242"
2014,9,"831,766","19,803","851,569"
2014,10,"905,767","22,088","927,855"
2014,11,"785,278","26,661","811,939"
2014,12,"829,601","31,457","861,058"
2014,TOTAL,"10,001,724","291,062","10,292,786"
2015,1,"659,197","23,147","682,344"
2015,2,"615,458","21,711","637,169"
2015,3,"867,172","33,434","900,606"
2015,4,"859,819","29,708","889,527"
2015,5,"916,781","33,666","950,447"
2015,6,"975,168","40,090","1,015,258"
2015,7,"1,051,989","40,462","1,092,451"
2015,8,"985,177","34,148","1,019,325"
2015,9,"905,059","28,210","933,269"
2015,10,"964,870","30,166","995,036"
2015,11,"819,420","28,771","848,191"
2015,12,"806,487","34,422","840,909"
2015,TOTAL,"10,426,597","377,935","10,804,532"
2016,1,"699,339","27,223","726,562"
2016,2,"648,946","24,693","673,639"
2016,3,"874,566","34,769","909,335"
2016,4,"881,949","30,211","912,160"
2016,5,"957,329","35,737","993,066"
2016,6,"1,002,044","39,717","1,041,761"
2016,7,"994,738","43,175","1,037,913"
2016,8,"993,943","32,735","1,026,678"
2016,9,"932,364","27,772","960,136"
2016,10,"973,273","27,835","1,001,108"
2016,11,"861,888","30,291","892,179"
2016,12,"817,215","34,803","852,018"
2016,TOTAL,"10,637,594","388,961","11,026,555"
2017,1,"671,545","29,376","700,921"
2017,2,"627,510","25,763","653,273"
2017,3,"883,753","36,288","920,041"
2017,4,"867,763","36,183","903,946"
2017,5,"929,867","34,589","964,456"
2017,6,"983,413","43,407","1,026,820"
2017,7,"1,018,283","45,187","1,063,470"
2017,8,"981,951","36,238","1,018,189"
2017,9,"859,484","26,947","886,431"
2017,10,"937,483","28,172","965,655"
2017,11,"872,846","28,525","901,371"
2017,12,"850,049","33,124","883,173"
2017,TOTAL,"10,483,947","403,799","10,887,746"
2018,1,"700,145","27,715","727,860"
2018,2,"591,052","23,960","615,012"
2018,3,"884,075","37,748","921,823"
2018,4,"856,766","28,910","885,676"
2018,5,"928,103","33,646","961,749"
2018,6,"964,089","41,743","1,005,832"
2018,7,"997,295","41,811","1,039,106"
2018,8,"933,660","32,355","966,015"
2018,9,"832,228","27,630","859,858"
2018,10,"915,568","31,226","946,794"
2018,11,"842,264","31,054","873,318"
2018,12,"816,117","35,482","851,599"
2018,TOTAL,"10,261,362","393,280","10,654,642"
2019,1,"602,424","27,558","629,982"
2019,2,"594,670","25,775","620,445"
2019,3,"836,703","42,741","879,444"
2019,4,"809,071","33,170","842,241"
2019,5,"877,506","37,360","914,866"
2019,6,"884,324","36,767","921,091"
2019,7,"900,926","33,326","934,252"
2019,8,"887,692","28,178","915,870"
2019,9,"809,457","27,769","837,226"
2019,10,"896,767","28,131","924,898"
2019,11,"758,776","31,830","790,606"
2019,12,"811,868","41,023","852,891"
2019,TOTAL,"9,670,184","393,628","10,063,812"
2020,1,"621,104","22,716","643,820"
2020,2,"599,527","18,230","617,757"
2020,3,"331,028","13,739","344,767"
2020,4,"30,691","1,819","32,510"
2020,5,"272,994",,"272,994"
2020,6,"338,855","2,550","341,405"
2020,7,"339,013","6,437","345,450"
2020,8,"319,828","8,906","328,734"
2020,9,"331,153","9,418","340,571"
2020,10,"369,498","10,992","380,490"
2020,11,"308,499","14,316","322,815"
2020,12,"371,171","24,710","395,881"
2020,TOTAL,"4,233,361","133,833","4,367,194"
2021,1,"302,098","14,936","317,034"
2021,2,"306,209","9,028","315,237"
2021,3,"515,363","14,678","530,041"
2021,4,"544,700","16,105","560,805"
2021,5,"657,821","23,406","681,227"
2021,6,"751,149","27,813","778,962"
2021,7,"838,086","29,993","868,079"
2021,8,"779,897","27,383","807,280"
2021,9,"710,285","21,367","731,652"
2021,10,"737,837","22,639","760,476"
2021,11,"652,823","23,922","676,745"
2021,12,"613,232","28,686","641,918"
2021,TOTAL,"7,409,500","259,956","7,669,456"
2022,1,"427,327","22,582","449,909"
2022,2,"465,128","19,633","484,761"
2022,3,"676,832","25,835","702,667"
2022,4,"685,016","26,960","711,976"
2022,5,"790,631","30,509","821,140"
2022,6,"936,759","32,107","968,866"
2022,7,"995,274","33,696","1,028,970"
2022,8,"966,040","32,913","998,953"
2022,9,"892,730","28,086","920,816"
2022,10,"923,088","29,211","952,299"
2022,11,"833,161","32,460","865,621"
2022,12,"696,870","33,354","730,224"
2022,TOTAL,"9,288,856","347,346","9,636,202"
2023,1,"635,183","28,394","663,577"
2023,2,"632,412","22,651","655,063"
2023,3,"849,382","33,719","883,101"
2023,4,"830,168","32,176","862,344"
2023,5,"936,211","34,554","970,765"
2023,6,"980,195","36,422","1,016,617"
2023,7,"1,021,337","37,986","1,059,323"
2023,8,"962,029","32,607","994,636"
2023,9,"897,494","26,216","923,710"
2023,10,"961,640","27,815","989,455"
2023,11,"803,548","26,283","829,831"
2023,12,"766,418","31,216","797,634"
2023,TOTAL,"10,276,017","370,039","10,646,056"
2024,1,"562,863","24,896","587,759"
2024,2,"601,157","24,556","625,713"
2024,3,"849,480","29,974","879,454"
2024,4,"828,894","25,615","854,509"
2024,5,"922,410","29,283","951,693"
2024,6,"1,012,992","36,103","1,049,095"
2024,7,"1,070,600","40,753","1,111,353"
2024,8,"940,602","25,844","966,446"
2024,TOTAL,"6,788,998","237,024","7,026,022"
,,,,
Note: All numbers are for scheduled services.,,,,
,,,,
SOURCE: Bureau of Transportation Statistics T-100 Market data.,,,,
