"Passengers (All Carriers - Las Vegas, NV: Harry Reid International (Origin Airport))",,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"1,211,108","29,512","1,240,620"
2002,11,"1,180,223","30,674","1,210,897"
2002,12,"1,174,078","31,444","1,205,522"
2002,TOTAL,"15,041,507","336,675","15,378,182"
2003,1,"1,253,995","30,987","1,284,982"
2003,2,"1,178,244","31,354","1,209,598"
2003,3,"1,399,653","31,783","1,431,436"
2003,4,"1,294,743","26,668","1,321,411"
2003,5,"1,353,836","26,411","1,380,247"
2003,6,"1,396,773","30,337","1,427,110"
2003,7,"1,443,385","34,359","1,477,744"
2003,8,"1,462,733","36,329","1,499,062"
2003,9,"1,320,668","32,126","1,352,794"
2003,10,"1,443,634","35,502","1,479,136"
2003,11,"1,340,729","39,057","1,379,786"
2003,12,"1,264,755","38,667","1,303,422"
2003,TOTAL,"16,153,148","393,580","16,546,728"
2004,1,"1,330,626","42,169","1,372,795"
2004,2,"1,372,696","38,070","1,410,766"
2004,3,"1,620,655","47,030","1,667,685"
2004,4,"1,582,143","51,190","1,633,333"
2004,5,"1,629,677","48,255","1,677,932"
2004,6,"1,603,461","44,780","1,648,241"
2004,7,"1,644,886","47,021","1,691,907"
2004,8,"1,650,277","46,648","1,696,925"
2004,9,"1,524,120","42,887","1,567,007"
2004,10,"1,670,015","45,238","1,715,253"
2004,11,"1,553,246","51,754","1,605,000"
2004,12,"1,464,711","52,038","1,516,749"
2004,TOTAL,"18,646,513","557,080","19,203,593"
2005,1,"1,507,019","52,571","1,559,590"
2005,2,"1,407,073","51,135","1,458,208"
2005,3,"1,743,505","70,679","1,814,184"
2005,4,"1,679,709","62,345","1,742,054"
2005,5,"1,800,535","62,339","1,862,874"
2005,6,"1,733,541","60,543","1,794,084"
2005,7,"1,807,535","60,592","1,868,127"
2005,8,"1,775,183","60,263","1,835,446"
2005,9,"1,626,122","60,297","1,686,419"
2005,10,"1,753,227","71,791","1,825,018"
2005,11,"1,651,270","79,021","1,730,291"
2005,12,"1,569,592","72,816","1,642,408"
2005,TOTAL,"20,054,311","764,392","20,818,703"
2006,1,"1,587,055","78,451","1,665,506"
2006,2,"1,524,273","73,936","1,598,209"
2006,3,"1,823,142","85,401","1,908,543"
2006,4,"1,769,305","83,333","1,852,638"
2006,5,"1,794,851","76,428","1,871,279"
2006,6,"1,783,290","72,146","1,855,436"
2006,7,"1,835,127","69,468","1,904,595"
2006,8,"1,794,837","75,049","1,869,886"
2006,9,"1,638,038","73,287","1,711,325"
2006,10,"1,798,861","83,447","1,882,308"
2006,11,"1,691,653","88,600","1,780,253"
2006,12,"1,646,528","84,083","1,730,611"
2006,TOTAL,"20,686,960","943,629","21,630,589"
2007,1,"1,625,850","87,562","1,713,412"
2007,2,"1,520,831","74,773","1,595,604"
2007,3,"1,843,701","93,016","1,936,717"
2007,4,"1,784,150","89,557","1,873,707"
2007,5,"1,838,159","91,774","1,929,933"
2007,6,"1,851,110","83,613","1,934,723"
2007,7,"1,900,139","82,500","1,982,639"
2007,8,"1,892,959","90,590","1,983,549"
2007,9,"1,708,629","91,469","1,800,098"
2007,10,"1,810,917","99,492","1,910,409"
2007,11,"1,673,529","96,971","1,770,500"
2007,12,"1,630,878","91,573","1,722,451"
2007,TOTAL,"21,080,852","1,072,890","22,153,742"
2008,1,"1,599,175","91,672","1,690,847"
2008,2,"1,580,111","110,881","1,690,992"
2008,3,"1,851,918","100,699","1,952,617"
2008,4,"1,707,404","93,755","1,801,159"
2008,5,"1,776,851","90,315","1,867,166"
2008,6,"1,754,604","81,047","1,835,651"
2008,7,"1,746,025","78,889","1,824,914"
2008,8,"1,727,212","88,193","1,815,405"
2008,9,"1,507,243","81,665","1,588,908"
2008,10,"1,578,004","90,171","1,668,175"
2008,11,"1,436,176","102,400","1,538,576"
2008,12,"1,385,793","89,616","1,475,409"
2008,TOTAL,"19,650,516","1,099,303","20,749,819"
2009,1,"1,351,069","92,886","1,443,955"
2009,2,"1,341,869","95,374","1,437,243"
2009,3,"1,646,877","107,382","1,754,259"
2009,4,"1,592,761","111,786","1,704,547"
2009,5,"1,592,854","89,353","1,682,207"
2009,6,"1,570,293","77,253","1,647,546"
2009,7,"1,594,805","75,111","1,669,916"
2009,8,"1,581,742","82,719","1,664,461"
2009,9,"1,494,575","84,217","1,578,792"
2009,10,"1,557,715","97,384","1,655,099"
2009,11,"1,458,581","103,314","1,561,895"
2009,12,"1,346,139","88,816","1,434,955"
2009,TOTAL,"18,129,280","1,105,595","19,234,875"
2010,1,"1,353,285","94,489","1,447,774"
2010,2,"1,252,660","88,590","1,341,250"
2010,3,"1,573,815","101,108","1,674,923"
2010,4,"1,494,961","99,028","1,593,989"
2010,5,"1,567,800","97,686","1,665,486"
2010,6,"1,526,961","85,393","1,612,354"
2010,7,"1,563,643","85,158","1,648,801"
2010,8,"1,581,372","86,641","1,668,013"
2010,9,"1,443,952","81,480","1,525,432"
2010,10,"1,610,890","89,151","1,700,041"
2010,11,"1,454,465","85,230","1,539,695"
2010,12,"1,350,636","81,373","1,432,009"
2010,TOTAL,"17,774,440","1,075,327","18,849,767"
2011,1,"1,435,181","91,424","1,526,605"
2011,2,"1,285,146","84,176","1,369,322"
2011,3,"1,581,419","100,930","1,682,349"
2011,4,"1,523,448","110,650","1,634,098"
2011,5,"1,643,972","106,583","1,750,555"
2011,6,"1,591,291","101,162","1,692,453"
2011,7,"1,631,603","99,544","1,731,147"
2011,8,"1,622,460","106,329","1,728,789"
2011,9,"1,550,101","110,686","1,660,787"
2011,10,"1,668,399","120,980","1,789,379"
2011,11,"1,479,988","121,027","1,601,015"
2011,12,"1,398,145","103,420","1,501,565"
2011,TOTAL,"18,411,153","1,256,911","19,668,064"
2012,1,"1,426,915","112,233","1,539,148"
2012,2,"1,360,644","97,667","1,458,311"
2012,3,"1,604,253","117,741","1,721,994"
2012,4,"1,572,902","120,907","1,693,809"
2012,5,"1,616,608","119,896","1,736,504"
2012,6,"1,596,017","112,087","1,708,104"
2012,7,"1,627,857","110,078","1,737,935"
2012,8,"1,596,097","116,754","1,712,851"
2012,9,"1,500,764","119,389","1,620,153"
2012,10,"1,629,585","128,527","1,758,112"
2012,11,"1,461,350","125,841","1,587,191"
2012,12,"1,388,103","110,207","1,498,310"
2012,TOTAL,"18,381,095","1,391,327","19,772,422"
2013,1,"1,388,479","112,638","1,501,117"
2013,2,"1,303,008","105,954","1,408,962"
2013,3,"1,612,579","121,674","1,734,253"
2013,4,"1,565,466","128,269","1,693,735"
2013,5,"1,640,524","127,535","1,768,059"
2013,6,"1,630,618","118,617","1,749,235"
2013,7,"1,614,767","112,148","1,726,915"
2013,8,"1,577,227","122,619","1,699,846"
2013,9,"1,525,587","123,691","1,649,278"
2013,10,"1,649,844","131,036","1,780,880"
2013,11,"1,460,896","122,921","1,583,817"
2013,12,"1,433,515","111,694","1,545,209"
2013,TOTAL,"18,402,510","1,438,796","19,841,306"
2014,1,"1,449,072","120,816","1,569,888"
2014,2,"1,341,212","101,170","1,442,382"
2014,3,"1,661,002","132,882","1,793,884"
2014,4,"1,569,786","139,058","1,708,844"
2014,5,"1,642,970","145,967","1,788,937"
2014,6,"1,639,854","139,877","1,779,731"
2014,7,"1,625,429","132,757","1,758,186"
2014,8,"1,614,346","147,514","1,761,860"
2014,9,"1,552,054","143,225","1,695,279"
2014,10,"1,671,608","188,827","1,860,435"
2014,11,"1,500,638","127,243","1,627,881"
2014,12,"1,444,360","118,778","1,563,138"
2014,TOTAL,"18,712,331","1,638,114","20,350,445"
2015,1,"1,457,491","125,091","1,582,582"
2015,2,"1,384,573","117,756","1,502,329"
2015,3,"1,701,881","138,134","1,840,015"
2015,4,"1,653,460","152,764","1,806,224"
2015,5,"1,749,198","155,528","1,904,726"
2015,6,"1,738,403","145,608","1,884,011"
2015,7,"1,775,965","141,003","1,916,968"
2015,8,"1,771,282","150,765","1,922,047"
2015,9,"1,635,511","151,564","1,787,075"
2015,10,"1,805,783","155,561","1,961,344"
2015,11,"1,671,596","141,850","1,813,446"
2015,12,"1,593,694","125,548","1,719,242"
2015,TOTAL,"19,938,837","1,701,172","21,640,009"
2016,1,"1,596,221","126,440","1,722,661"
2016,2,"1,508,235","114,996","1,623,231"
2016,3,"1,799,841","137,169","1,937,010"
2016,4,"1,725,535","144,335","1,869,870"
2016,5,"1,815,626","161,937","1,977,563"
2016,6,"1,816,707","157,843","1,974,550"
2016,7,"1,828,917","146,432","1,975,349"
2016,8,"1,805,580","157,328","1,962,908"
2016,9,"1,748,183","157,289","1,905,472"
2016,10,"1,875,471","169,783","2,045,254"
2016,11,"1,713,321","146,997","1,860,318"
2016,12,"1,631,430","130,086","1,761,516"
2016,TOTAL,"20,865,067","1,750,635","22,615,702"
2017,1,"1,646,180","134,032","1,780,212"
2017,2,"1,514,767","119,133","1,633,900"
2017,3,"1,850,103","138,940","1,989,043"
2017,4,"1,797,345","148,434","1,945,779"
2017,5,"1,860,754","155,714","2,016,468"
2017,6,"1,842,063","156,313","1,998,376"
2017,7,"1,907,406","150,609","2,058,015"
2017,8,"1,874,424","163,020","2,037,444"
2017,9,"1,764,448","159,641","1,924,089"
2017,10,"1,916,833","167,795","2,084,628"
2017,11,"1,728,898","146,279","1,875,177"
2017,12,"1,679,218","128,132","1,807,350"
2017,TOTAL,"21,382,439","1,768,042","23,150,481"
2018,1,"1,676,312","134,396","1,810,708"
2018,2,"1,575,251","119,086","1,694,337"
2018,3,"1,896,421","144,374","2,040,795"
2018,4,"1,847,151","157,752","2,004,903"
2018,5,"1,910,030","171,606","2,081,636"
2018,6,"1,884,053","164,885","2,048,938"
2018,7,"1,942,079","159,898","2,101,977"
2018,8,"1,874,416","167,266","2,041,682"
2018,9,"1,766,567","150,511","1,917,078"
2018,10,"1,948,257","169,240","2,117,497"
2018,11,"1,807,922","144,650","1,952,572"
2018,12,"1,683,902","143,427","1,827,329"
2018,TOTAL,"21,812,361","1,827,091","23,639,452"
2019,1,"1,728,844","138,738","1,867,582"
2019,2,"1,582,745","123,462","1,706,207"
2019,3,"1,937,864","142,608","2,080,472"
2019,4,"1,889,254","150,058","2,039,312"
2019,5,"2,012,622","161,890","2,174,512"
2019,6,"1,956,955","167,003","2,123,958"
2019,7,"1,988,009","148,215","2,136,224"
2019,8,"1,936,554","151,735","2,088,289"
2019,9,"1,909,159","143,860","2,053,019"
2019,10,"2,020,225","156,798","2,177,023"
2019,11,"1,838,198","139,406","1,977,604"
2019,12,"1,855,019","135,274","1,990,293"
2019,TOTAL,"22,655,448","1,759,047","24,414,495"
2020,1,"1,852,351","143,001","1,995,352"
2020,2,"1,717,700","115,605","1,833,305"
2020,3,"964,434","61,100","1,025,534"
2020,4,"59,839",,"59,839"
2020,5,"285,293",,"285,293"
2020,6,"473,952",32,"473,984"
2020,7,"751,283","2,668","753,951"
2020,8,"816,420","3,651","820,071"
2020,9,"796,432","6,286","802,718"
2020,10,"912,251","7,978","920,229"
2020,11,"863,404","9,179","872,583"
2020,12,"741,028","13,626","754,654"
2020,TOTAL,"10,234,387","363,126","10,597,513"
2021,1,"725,713","9,618","735,331"
2021,2,"744,640","3,536","748,176"
2021,3,"1,201,354","7,874","1,209,228"
2021,4,"1,354,767","14,517","1,369,284"
2021,5,"1,663,415","24,031","1,687,446"
2021,6,"1,790,477","25,781","1,816,258"
2021,7,"1,963,457","29,782","1,993,239"
2021,8,"1,814,764","36,484","1,851,248"
2021,9,"1,743,045","40,900","1,783,945"
2021,10,"1,946,535","57,902","2,004,437"
2021,11,"1,868,046","55,905","1,923,951"
2021,12,"1,766,468","62,051","1,828,519"
2021,TOTAL,"18,582,681","368,381","18,951,062"
2022,1,"1,486,696","47,650","1,534,346"
2022,2,"1,541,967","47,888","1,589,855"
2022,3,"1,951,773","74,076","2,025,849"
2022,4,"1,940,123","99,276","2,039,399"
2022,5,"2,099,064","121,097","2,220,161"
2022,6,"2,119,120","127,096","2,246,216"
2022,7,"2,204,406","121,763","2,326,169"
2022,8,"2,119,900","119,571","2,239,471"
2022,9,"2,126,916","127,606","2,254,522"
2022,10,"2,355,586","143,803","2,499,389"
2022,11,"2,087,509","121,512","2,209,021"
2022,12,"1,971,032","109,378","2,080,410"
2022,TOTAL,"24,004,092","1,260,716","25,264,808"
2023,1,"1,999,203","115,714","2,114,917"
2023,2,"1,907,855","101,806","2,009,661"
2023,3,"2,218,838","127,077","2,345,915"
2023,4,"2,188,269","137,573","2,325,842"
2023,5,"2,257,338","151,198","2,408,536"
2023,6,"2,191,520","144,189","2,335,709"
2023,7,"2,228,518","133,165","2,361,683"
2023,8,"2,067,908","131,101","2,199,009"
2023,9,"2,146,642","132,250","2,278,892"
2023,10,"2,498,074","151,610","2,649,684"
2023,11,"2,183,147","130,529","2,313,676"
2023,12,"2,160,573","138,185","2,298,758"
2023,TOTAL,"26,047,885","1,594,397","27,642,282"
2024,1,"1,978,076","137,877","2,115,953"
2024,2,"1,915,519","131,543","2,047,062"
2024,3,"2,264,767","152,188","2,416,955"
2024,4,"2,208,538","160,206","2,368,744"
2024,5,"2,328,690","168,212","2,496,902"
2024,6,"2,288,465","150,654","2,439,119"
2024,7,"2,297,970","139,940","2,437,910"
2024,8,"2,155,494","137,550","2,293,044"
2024,TOTAL,"17,437,519","1,178,170","18,615,689"
,,,,
Note: All numbers are for scheduled services.,,,,
,,,,
SOURCE: Bureau of Transportation Statistics T-100 Market data.,,,,
