"Passengers (All Carriers - Nashville, TN: Nashville International (Origin Airport))",,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"348,819","2,052","350,871"
2002,11,"311,009","1,783","312,792"
2002,12,"332,193","1,510","333,703"
2002,TOTAL,"3,808,578","22,941","3,831,519"
2003,1,"271,120","1,300","272,420"
2003,2,"277,412","1,534","278,946"
2003,3,"336,281","1,740","338,021"
2003,4,"309,332","1,171","310,503"
2003,5,"350,592",16,"350,608"
2003,6,"363,056","2,042","365,098"
2003,7,"380,708",158,"380,866"
2003,8,"338,999","1,596","340,595"
2003,9,"301,991","1,161","303,152"
2003,10,"340,544","1,702","342,246"
2003,11,"310,294","1,341","311,635"
2003,12,"324,836","1,389","326,225"
2003,TOTAL,"3,905,165","15,150","3,920,315"
2004,1,"274,423","1,193","275,616"
2004,2,"293,538","1,385","294,923"
2004,3,"361,219","1,583","362,802"
2004,4,"361,892","1,558","363,450"
2004,5,"391,603","1,624","393,227"
2004,6,"402,582","1,112","403,694"
2004,7,"404,447","1,132","405,579"
2004,8,"367,460","1,095","368,555"
2004,9,"333,462","1,061","334,523"
2004,10,"376,390","1,193","377,583"
2004,11,"349,799",996,"350,795"
2004,12,"342,403","1,696","344,099"
2004,TOTAL,"4,259,218","15,628","4,274,846"
2005,1,"300,303","1,530","301,833"
2005,2,"296,979","1,746","298,725"
2005,3,"381,237","1,970","383,207"
2005,4,"366,999","1,540","368,539"
2005,5,"415,142","2,526","417,668"
2005,6,"424,719","2,539","427,258"
2005,7,"430,151","1,951","432,102"
2005,8,"389,516","1,714","391,230"
2005,9,"374,694","1,652","376,346"
2005,10,"401,797","1,034","402,831"
2005,11,"378,277","1,145","379,422"
2005,12,"372,301","1,302","373,603"
2005,TOTAL,"4,532,115","20,649","4,552,764"
2006,1,"331,378","1,508","332,886"
2006,2,"320,839","1,306","322,145"
2006,3,"411,009","1,947","412,956"
2006,4,"383,924","1,978","385,902"
2006,5,"431,045","2,623","433,668"
2006,6,"430,708","3,029","433,737"
2006,7,"424,160","3,068","427,228"
2006,8,"401,541","2,272","403,813"
2006,9,"380,021","2,140","382,161"
2006,10,"429,698","2,290","431,988"
2006,11,"405,915","2,089","408,004"
2006,12,"388,555","2,482","391,037"
2006,TOTAL,"4,738,793","26,732","4,765,525"
2007,1,"345,792","2,044","347,836"
2007,2,"335,596","2,191","337,787"
2007,3,"417,200","3,188","420,388"
2007,4,"403,812","2,734","406,546"
2007,5,"451,615","3,144","454,759"
2007,6,"458,552","3,519","462,071"
2007,7,"446,501","3,317","449,818"
2007,8,"416,785","2,452","419,237"
2007,9,"379,132","1,844","380,976"
2007,10,"421,377","1,848","423,225"
2007,11,"391,769","1,917","393,686"
2007,12,"378,075","1,752","379,827"
2007,TOTAL,"4,846,206","29,950","4,876,156"
2008,1,"338,423","1,698","340,121"
2008,2,"345,881","1,223","347,104"
2008,3,"409,518","1,020","410,538"
2008,4,"397,243","2,864","400,107"
2008,5,"436,134","3,057","439,191"
2008,6,"436,148","2,373","438,521"
2008,7,"429,007","2,249","431,256"
2008,8,"378,164","2,031","380,195"
2008,9,"333,076","1,709","334,785"
2008,10,"399,368","2,065","401,433"
2008,11,"345,998","1,837","347,835"
2008,12,"356,697","1,887","358,584"
2008,TOTAL,"4,605,657","24,013","4,629,670"
2009,1,"295,880","1,413","297,293"
2009,2,"289,319","1,288","290,607"
2009,3,"365,686","1,917","367,603"
2009,4,"362,154","1,687","363,841"
2009,5,"390,701",393,"391,094"
2009,6,"414,927","2,015","416,942"
2009,7,"421,904","2,029","423,933"
2009,8,"363,340","1,291","364,631"
2009,9,"345,245","1,173","346,418"
2009,10,"395,731","1,560","397,291"
2009,11,"350,758","1,567","352,325"
2009,12,"358,543","1,592","360,135"
2009,TOTAL,"4,354,188","17,925","4,372,113"
2010,1,"304,514","1,207","305,721"
2010,2,"286,882","1,519","288,401"
2010,3,"369,152","2,018","371,170"
2010,4,"363,420","1,768","365,188"
2010,5,"382,683","1,695","384,378"
2010,6,"412,092","2,381","414,473"
2010,7,"418,603","2,486","421,089"
2010,8,"368,861","1,616","370,477"
2010,9,"359,005","1,522","360,527"
2010,10,"411,235","1,810","413,045"
2010,11,"362,840","1,302","364,142"
2010,12,"359,182","1,534","360,716"
2010,TOTAL,"4,398,469","20,858","4,419,327"
2011,1,"320,951","1,412","322,363"
2011,2,"304,933","1,507","306,440"
2011,3,"399,296","2,078","401,374"
2011,4,"385,452","1,695","387,147"
2011,5,"438,050","2,158","440,208"
2011,6,"433,322","2,502","435,824"
2011,7,"422,268","2,456","424,724"
2011,8,"384,925","1,755","386,680"
2011,9,"379,363","1,731","381,094"
2011,10,"422,547","1,839","424,386"
2011,11,"377,861","1,510","379,371"
2011,12,"369,314","1,514","370,828"
2011,TOTAL,"4,638,282","22,157","4,660,439"
2012,1,"331,009","1,185","332,194"
2012,2,"330,746","1,418","332,164"
2012,3,"417,655","2,374","420,029"
2012,4,"394,666","1,447","396,113"
2012,5,"440,597","1,825","442,422"
2012,6,"448,063","2,442","450,505"
2012,7,"427,739","1,836","429,575"
2012,8,"408,541","1,824","410,365"
2012,9,"382,574","1,731","384,305"
2012,10,"422,923","1,939","424,862"
2012,11,"385,177","1,498","386,675"
2012,12,"373,638","1,536","375,174"
2012,TOTAL,"4,763,328","21,055","4,784,383"
2013,1,"344,545","1,140","345,685"
2013,2,"336,043","1,439","337,482"
2013,3,"439,267","2,313","441,580"
2013,4,"414,899","1,810","416,709"
2013,5,"470,583","2,495","473,078"
2013,6,"467,122","2,927","470,049"
2013,7,"443,475","2,365","445,840"
2013,8,"413,574","1,905","415,479"
2013,9,"397,663","2,056","399,719"
2013,10,"454,310","2,452","456,762"
2013,11,"404,413","1,807","406,220"
2013,12,"424,175","1,846","426,021"
2013,TOTAL,"5,010,069","24,555","5,034,624"
2014,1,"362,613","1,900","364,513"
2014,2,"352,903","2,032","354,935"
2014,3,"467,639","2,825","470,464"
2014,4,"439,304","2,088","441,392"
2014,5,"489,179","2,645","491,824"
2014,6,"492,995","2,967","495,962"
2014,7,"485,058","2,820","487,878"
2014,8,"451,602","2,252","453,854"
2014,9,"440,035","2,284","442,319"
2014,10,"495,755","2,748","498,503"
2014,11,"428,679","2,061","430,740"
2014,12,"443,265","2,067","445,332"
2014,TOTAL,"5,349,027","28,689","5,377,716"
2015,1,"367,174","2,113","369,287"
2015,2,"336,474","2,285","338,759"
2015,3,"473,268","3,255","476,523"
2015,4,"473,002","2,951","475,953"
2015,5,"514,082","3,496","517,578"
2015,6,"518,879","3,101","521,980"
2015,7,"523,518","3,118","526,636"
2015,8,"486,855","2,774","489,629"
2015,9,"480,148","2,443","482,591"
2015,10,"542,768","2,643","545,411"
2015,11,"476,001","2,329","478,330"
2015,12,"467,366","2,354","469,720"
2015,TOTAL,"5,659,535","32,862","5,692,397"
2016,1,"396,803","2,359","399,162"
2016,2,"405,153","2,757","407,910"
2016,3,"504,222","3,339","507,561"
2016,4,"509,281","3,217","512,498"
2016,5,"579,765","4,868","584,633"
2016,6,"583,707","6,150","589,857"
2016,7,"564,755","6,433","571,188"
2016,8,"527,469","4,996","532,465"
2016,9,"545,980","5,664","551,644"
2016,10,"588,031","6,239","594,270"
2016,11,"543,142","5,707","548,849"
2016,12,"514,873","5,473","520,346"
2016,TOTAL,"6,263,181","57,202","6,320,383"
2017,1,"447,342","5,247","452,589"
2017,2,"432,253","5,264","437,517"
2017,3,"564,699","6,546","571,245"
2017,4,"552,066","6,628","558,694"
2017,5,"612,716","8,737","621,453"
2017,6,"636,396","8,772","645,168"
2017,7,"615,250","8,312","623,562"
2017,8,"587,364","7,743","595,107"
2017,9,"554,128","7,046","561,174"
2017,10,"630,965","7,546","638,511"
2017,11,"594,999","6,238","601,237"
2017,12,"567,647","6,510","574,157"
2017,TOTAL,"6,795,825","84,589","6,880,414"
2018,1,"483,139","5,846","488,985"
2018,2,"487,560","6,007","493,567"
2018,3,"630,826","7,921","638,747"
2018,4,"623,100","7,241","630,341"
2018,5,"690,466","14,695","705,161"
2018,6,"697,237","15,233","712,470"
2018,7,"680,894","14,018","694,912"
2018,8,"672,758","13,482","686,240"
2018,9,"643,390","8,703","652,093"
2018,10,"739,990","13,601","753,591"
2018,11,"674,537","10,009","684,546"
2018,12,"643,227","10,775","654,002"
2018,TOTAL,"7,667,124","127,531","7,794,655"
2019,1,"560,954","7,577","568,531"
2019,2,"561,921","8,036","569,957"
2019,3,"726,857","12,336","739,193"
2019,4,"718,373","12,729","731,102"
2019,5,"808,335","17,315","825,650"
2019,6,"803,737","17,548","821,285"
2019,7,"794,113","15,786","809,899"
2019,8,"756,690","13,968","770,658"
2019,9,"730,154","14,501","744,655"
2019,10,"845,307","13,575","858,882"
2019,11,"724,350","10,208","734,558"
2019,12,"738,876","9,752","748,628"
2019,TOTAL,"8,769,667","153,331","8,922,998"
2020,1,"631,344","8,154","639,498"
2020,2,"642,251","9,257","651,508"
2020,3,"363,282","5,664","368,946"
2020,4,"25,154",,"25,154"
2020,5,"156,724",,"156,724"
2020,6,"232,833",,"232,833"
2020,7,"298,900",,"298,900"
2020,8,"293,802",,"293,802"
2020,9,"318,640",,"318,640"
2020,10,"376,930",,"376,930"
2020,11,"344,158",278,"344,436"
2020,12,"360,047",486,"360,533"
2020,TOTAL,"4,044,065","23,839","4,067,904"
2021,1,"280,652",461,"281,113"
2021,2,"262,698",384,"263,082"
2021,3,"478,061","1,015","479,076"
2021,4,"535,683",877,"536,560"
2021,5,"687,992","1,880","689,872"
2021,6,"757,083","2,273","759,356"
2021,7,"819,943","2,565","822,508"
2021,8,"739,450","2,471","741,921"
2021,9,"696,668","3,378","700,046"
2021,10,"809,373","6,662","816,035"
2021,11,"748,600","3,654","752,254"
2021,12,"730,695","4,647","735,342"
2021,TOTAL,"7,546,898","30,267","7,577,165"
2022,1,"506,068","1,957","508,025"
2022,2,"580,736","2,362","583,098"
2022,3,"764,679","5,240","769,919"
2022,4,"785,652","7,081","792,733"
2022,5,"899,061","13,352","912,413"
2022,6,"878,896","18,978","897,874"
2022,7,"888,070","16,266","904,336"
2022,8,"834,299","15,231","849,530"
2022,9,"883,021","17,045","900,066"
2022,10,"990,951","17,502","1,008,453"
2022,11,"875,001","12,573","887,574"
2022,12,"782,715","9,764","792,479"
2022,TOTAL,"9,669,149","137,351","9,806,500"
2023,1,"712,972","8,431","721,403"
2023,2,"724,871","7,156","732,027"
2023,3,"925,841","11,994","937,835"
2023,4,"919,087","15,625","934,712"
2023,5,"1,015,462","21,835","1,037,297"
2023,6,"983,452","27,780","1,011,232"
2023,7,"988,336","22,786","1,011,122"
2023,8,"901,549","17,710","919,259"
2023,9,"933,504","17,899","951,403"
2023,10,"1,063,197","19,716","1,082,913"
2023,11,"926,534","10,798","937,332"
2023,12,"908,307","10,539","918,846"
2023,TOTAL,"11,003,112","192,269","11,195,381"
2024,1,"701,662","8,457","710,119"
2024,2,"767,645","8,371","776,016"
2024,3,"980,121","16,854","996,975"
2024,4,"970,311","18,051","988,362"
2024,5,"1,110,935","31,024","1,141,959"
2024,6,"1,125,115","33,669","1,158,784"
2024,7,"1,113,329","31,017","1,144,346"
2024,8,"1,018,463","23,855","1,042,318"
2024,TOTAL,"7,787,581","171,298","7,958,879"
,,,,
Note: All numbers are for scheduled services.,,,,
,,,,
SOURCE: Bureau of Transportation Statistics T-100 Market data.,,,,
