"Flights (All Carriers - New York, NY: LaGuardia (Origin Airport))",,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"14,137","1,056","15,193"
2002,11,"14,021",963,"14,984"
2002,12,"13,652",938,"14,590"
2002,TOTAL,"130,055","10,269","140,324"
2003,1,"14,152",963,"15,115"
2003,2,"11,700",812,"12,512"
2003,3,"14,074",995,"15,069"
2003,4,"13,928",909,"14,837"
2003,5,"14,523",985,"15,508"
2003,6,"14,576",947,"15,523"
2003,7,"14,456",946,"15,402"
2003,8,"13,917",882,"14,799"
2003,9,"13,702",914,"14,616"
2003,10,"14,885",975,"15,860"
2003,11,"14,396",853,"15,249"
2003,12,"13,974",824,"14,798"
2003,TOTAL,"168,283","11,005","179,288"
2004,1,"14,490",874,"15,364"
2004,2,"14,308",884,"15,192"
2004,3,"15,358",970,"16,328"
2004,4,"15,281",874,"16,155"
2004,5,"15,130",911,"16,041"
2004,6,"15,131",963,"16,094"
2004,7,"14,925",972,"15,897"
2004,8,"15,485","1,006","16,491"
2004,9,"14,651",976,"15,627"
2004,10,"15,727","1,078","16,805"
2004,11,"15,385","1,032","16,417"
2004,12,"15,213",968,"16,181"
2004,TOTAL,"181,084","11,508","192,592"
2005,1,"14,559",957,"15,516"
2005,2,"13,931",910,"14,841"
2005,3,"15,271",993,"16,264"
2005,4,"15,224","1,039","16,263"
2005,5,"15,864","1,115","16,979"
2005,6,"14,877","1,022","15,899"
2005,7,"15,169","1,004","16,173"
2005,8,"15,723",993,"16,716"
2005,9,"15,036",977,"16,013"
2005,10,"14,978",945,"15,923"
2005,11,"14,830",931,"15,761"
2005,12,"15,129",908,"16,037"
2005,TOTAL,"180,591","11,794","192,385"
2006,1,"15,028",897,"15,925"
2006,2,"13,472",851,"14,323"
2006,3,"15,750",981,"16,731"
2006,4,"15,113",970,"16,083"
2006,5,"15,771",955,"16,726"
2006,6,"15,007",943,"15,950"
2006,7,"15,049",916,"15,965"
2006,8,"16,005",982,"16,987"
2006,9,"14,979",910,"15,889"
2006,10,"15,640",922,"16,562"
2006,11,"14,831",904,"15,735"
2006,12,"14,924",892,"15,816"
2006,TOTAL,"181,569","11,123","192,692"
2007,1,"15,296",850,"16,146"
2007,2,"13,438",767,"14,205"
2007,3,"15,099",842,"15,941"
2007,4,"14,995",918,"15,913"
2007,5,"15,709",973,"16,682"
2007,6,"14,220",884,"15,104"
2007,7,"14,842",939,"15,781"
2007,8,"15,532",978,"16,510"
2007,9,"14,768",888,"15,656"
2007,10,"15,375",899,"16,274"
2007,11,"14,699",836,"15,535"
2007,12,"13,777",843,"14,620"
2007,TOTAL,"177,750","10,617","188,367"
2008,1,"14,643",934,"15,577"
2008,2,"13,398",832,"14,230"
2008,3,"14,809",941,"15,750"
2008,4,"14,658",981,"15,639"
2008,5,"14,958","1,004","15,962"
2008,6,"14,306",970,"15,276"
2008,7,"15,079","1,005","16,084"
2008,8,"14,878",979,"15,857"
2008,9,"14,462",963,"15,425"
2008,10,"15,126","1,007","16,133"
2008,11,"13,014",921,"13,935"
2008,12,"12,851",902,"13,753"
2008,TOTAL,"172,182","11,439","183,621"
2009,1,"12,940",896,"13,836"
2009,2,"12,331",852,"13,183"
2009,3,"13,723",973,"14,696"
2009,4,"13,281",928,"14,209"
2009,5,"13,434",802,"14,236"
2009,6,"13,366",953,"14,319"
2009,7,"14,140",990,"15,130"
2009,8,"14,038",980,"15,018"
2009,9,"13,432","1,034","14,466"
2009,10,"13,847","1,044","14,891"
2009,11,"13,264",997,"14,261"
2009,12,"12,713",989,"13,702"
2009,TOTAL,"160,509","11,438","171,947"
2010,1,"13,219",997,"14,216"
2010,2,"10,973",854,"11,827"
2010,3,"14,020","1,061","15,081"
2010,4,"14,289","1,097","15,386"
2010,5,"14,122","1,095","15,217"
2010,6,"13,788","1,092","14,880"
2010,7,"13,864","1,098","14,962"
2010,8,"14,563","1,107","15,670"
2010,9,"13,981","1,044","15,025"
2010,10,"14,454","1,062","15,516"
2010,11,"14,110",930,"15,040"
2010,12,"12,622",874,"13,496"
2010,TOTAL,"164,005","12,311","176,316"
2011,1,"13,022",867,"13,889"
2011,2,"12,399",781,"13,180"
2011,3,"14,905",931,"15,836"
2011,4,"13,900",875,"14,775"
2011,5,"14,662",945,"15,607"
2011,6,"14,279",916,"15,195"
2011,7,"14,365",925,"15,290"
2011,8,"13,853",893,"14,746"
2011,9,"14,050",950,"15,000"
2011,10,"14,441",977,"15,418"
2011,11,"13,723",949,"14,672"
2011,12,"13,439",992,"14,431"
2011,TOTAL,"167,038","11,001","178,039"
2012,1,"13,470",979,"14,449"
2012,2,"13,371",956,"14,327"
2012,3,"14,483","1,039","15,522"
2012,4,"14,296","1,000","15,296"
2012,5,"14,409","1,054","15,463"
2012,6,"13,877","1,166","15,043"
2012,7,"13,710","1,386","15,096"
2012,8,"14,335","1,541","15,876"
2012,9,"13,395","1,467","14,862"
2012,10,"13,201","1,404","14,605"
2012,11,"12,989","1,322","14,311"
2012,12,"13,022","1,296","14,318"
2012,TOTAL,"164,558","14,610","179,168"
2013,1,"13,438","1,372","14,810"
2013,2,"11,906","1,173","13,079"
2013,3,"13,894","1,408","15,302"
2013,4,"14,026","1,362","15,388"
2013,5,"14,246","1,363","15,609"
2013,6,"13,547","1,349","14,896"
2013,7,"13,721","1,397","15,118"
2013,8,"14,514","1,475","15,989"
2013,9,"13,450","1,390","14,840"
2013,10,"14,653","1,504","16,157"
2013,11,"13,336","1,339","14,675"
2013,12,"13,152","1,275","14,427"
2013,TOTAL,"163,883","16,407","180,290"
2014,1,"11,991","1,226","13,217"
2014,2,"10,803","1,126","11,929"
2014,3,"13,937","1,375","15,312"
2014,4,"14,084","1,359","15,443"
2014,5,"13,888","1,341","15,229"
2014,6,"13,912","1,336","15,248"
2014,7,"13,950","1,353","15,303"
2014,8,"14,435","1,427","15,862"
2014,9,"13,535","1,406","14,941"
2014,10,"14,432","1,171","15,603"
2014,11,"13,294","1,158","14,452"
2014,12,"13,588","1,189","14,777"
2014,TOTAL,"161,849","15,467","177,316"
2015,1,"12,578","1,088","13,666"
2015,2,"11,426","1,010","12,436"
2015,3,"13,547","1,152","14,699"
2015,4,"13,929","1,219","15,148"
2015,5,"13,772","1,293","15,065"
2015,6,"13,639","1,264","14,903"
2015,7,"14,262","1,336","15,598"
2015,8,"14,516","1,350","15,866"
2015,9,"13,581","1,261","14,842"
2015,10,"14,313","1,279","15,592"
2015,11,"13,426","1,093","14,519"
2015,12,"13,089","1,192","14,281"
2015,TOTAL,"162,078","14,537","176,615"
2016,1,"12,673","1,143","13,816"
2016,2,"12,338","1,075","13,413"
2016,3,"14,602","1,246","15,848"
2016,4,"13,934","1,163","15,097"
2016,5,"14,652","1,281","15,933"
2016,6,"14,357","1,221","15,578"
2016,7,"13,776","1,179","14,955"
2016,8,"14,505","1,245","15,750"
2016,9,"13,980","1,233","15,213"
2016,10,"14,112","1,245","15,357"
2016,11,"13,787","1,149","14,936"
2016,12,"13,104","1,132","14,236"
2016,TOTAL,"165,820","14,312","180,132"
2017,1,"13,109","1,060","14,169"
2017,2,"11,969",952,"12,921"
2017,3,"13,863","1,070","14,933"
2017,4,"13,560","1,026","14,586"
2017,5,"14,159","1,153","15,312"
2017,6,"14,055","1,145","15,200"
2017,7,"13,622","1,156","14,778"
2017,8,"14,443","1,187","15,630"
2017,9,"13,360","1,180","14,540"
2017,10,"14,188","1,196","15,384"
2017,11,"13,678","1,152","14,830"
2017,12,"13,213","1,113","14,326"
2017,TOTAL,"163,219","13,390","176,609"
2018,1,"12,754","1,024","13,778"
2018,2,"12,523","1,001","13,524"
2018,3,"13,174","1,068","14,242"
2018,4,"13,928","1,101","15,029"
2018,5,"14,470","1,201","15,671"
2018,6,"14,396","1,181","15,577"
2018,7,"14,010","1,173","15,183"
2018,8,"14,386","1,168","15,554"
2018,9,"13,530","1,150","14,680"
2018,10,"14,674","1,226","15,900"
2018,11,"13,592","1,114","14,706"
2018,12,"13,284","1,130","14,414"
2018,TOTAL,"164,721","13,537","178,258"
2019,1,"13,380","1,085","14,465"
2019,2,"12,365",958,"13,323"
2019,3,"14,456","1,162","15,618"
2019,4,"14,208","1,166","15,374"
2019,5,"14,603","1,168","15,771"
2019,6,"14,068","1,133","15,201"
2019,7,"13,939","1,141","15,080"
2019,8,"14,517","1,163","15,680"
2019,9,"13,918","1,159","15,077"
2019,10,"14,597","1,185","15,782"
2019,11,"13,517","1,084","14,601"
2019,12,"13,515","1,084","14,599"
2019,TOTAL,"167,083","13,488","180,571"
2020,1,"13,753","1,127","14,880"
2020,2,"12,867","1,010","13,877"
2020,3,"11,387",730,"12,117"
2020,4,"1,102",10,"1,112"
2020,5,733,10,743
2020,6,"2,010",30,"2,040"
2020,7,"4,094",70,"4,164"
2020,8,"3,724",66,"3,790"
2020,9,"3,275",77,"3,352"
2020,10,"3,288",80,"3,368"
2020,11,"3,632",73,"3,705"
2020,12,"3,797",86,"3,883"
2020,TOTAL,"63,662","3,369","67,031"
2021,1,"3,373",82,"3,455"
2021,2,"2,695",35,"2,730"
2021,3,"4,493",4,"4,497"
2021,4,"5,123",4,"5,127"
2021,5,"5,770",1,"5,771"
2021,6,"6,735",108,"6,843"
2021,7,"7,386",155,"7,541"
2021,8,"7,503",294,"7,797"
2021,9,"7,837",383,"8,220"
2021,10,"9,380",521,"9,901"
2021,11,"13,178",583,"13,761"
2021,12,"12,958",614,"13,572"
2021,TOTAL,"86,431","2,784","89,215"
2022,1,"12,771",505,"13,276"
2022,2,"12,418",401,"12,819"
2022,3,"14,208",575,"14,783"
2022,4,"13,696",686,"14,382"
2022,5,"13,935",901,"14,836"
2022,6,"13,006",847,"13,853"
2022,7,"13,726",842,"14,568"
2022,8,"13,586",838,"14,424"
2022,9,"13,991",917,"14,908"
2022,10,"14,179",894,"15,073"
2022,11,"13,796","1,049","14,845"
2022,12,"12,885","1,018","13,903"
2022,TOTAL,"162,197","9,473","171,670"
2023,1,"13,473","1,044","14,517"
2023,2,"13,180","1,048","14,228"
2023,3,"14,855","1,161","16,016"
2023,4,"13,891","1,115","15,006"
2023,5,"14,775","1,191","15,966"
2023,6,"12,955","1,016","13,971"
2023,7,"12,444","1,013","13,457"
2023,8,"13,996","1,158","15,154"
2023,9,"12,783","1,061","13,844"
2023,10,"14,108","1,130","15,238"
2023,11,"13,532","1,069","14,601"
2023,12,"12,572","1,072","13,644"
2023,TOTAL,"162,564","13,078","175,642"
2024,1,"12,234","1,040","13,274"
2024,2,"12,555","1,034","13,589"
2024,3,"13,462","1,124","14,586"
2024,4,"13,339","1,084","14,423"
2024,5,"13,884","1,053","14,937"
2024,6,"13,130","1,051","14,181"
2024,7,"13,616","1,115","14,731"
2024,8,"13,110","1,050","14,160"
2024,9,"13,541","1,069","14,610"
2024,10,"14,072","1,049","15,121"
2024,11,"13,354",915,"14,269"
2024,TOTAL,"146,297","11,584","157,881"
,,,,
Note: All numbers are for scheduled services.,,,,
,,,,
SOURCE: Bureau of Transportation Statistics T-100 Segment data.,,,,
