"Flights (All Carriers - Miami, FL: Miami International (Origin Airport))",,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"6,467","5,510","11,977"
2002,11,"6,325","5,761","12,086"
2002,12,"6,655","6,350","13,005"
2002,TOTAL,"73,541","65,606","139,147"
2003,1,"6,748","6,180","12,928"
2003,2,"6,062","5,367","11,429"
2003,3,"6,928","5,920","12,848"
2003,4,"6,553","5,624","12,177"
2003,5,"6,327","5,428","11,755"
2003,6,"6,119","5,402","11,521"
2003,7,"6,301","6,013","12,314"
2003,8,"6,406","5,878","12,284"
2003,9,"5,973","5,168","11,141"
2003,10,"6,297","5,233","11,530"
2003,11,"6,493","5,502","11,995"
2003,12,"6,817","6,058","12,875"
2003,TOTAL,"77,024","67,773","144,797"
2004,1,"6,871","5,926","12,797"
2004,2,"6,526","5,343","11,869"
2004,3,"7,089","5,632","12,721"
2004,4,"6,692","5,264","11,956"
2004,5,"6,738","5,387","12,125"
2004,6,"6,384","5,481","11,865"
2004,7,"6,588","5,931","12,519"
2004,8,"6,468","5,913","12,381"
2004,9,"5,218","4,234","9,452"
2004,10,"6,462","4,883","11,345"
2004,11,"6,484","5,081","11,565"
2004,12,"6,883","5,509","12,392"
2004,TOTAL,"78,403","64,584","142,987"
2005,1,"6,788","5,471","12,259"
2005,2,"6,273","4,815","11,088"
2005,3,"7,042","5,336","12,378"
2005,4,"6,535","4,982","11,517"
2005,5,"6,542","5,104","11,646"
2005,6,"6,468","5,095","11,563"
2005,7,"6,741","5,380","12,121"
2005,8,"6,486","4,992","11,478"
2005,9,"5,890","4,425","10,315"
2005,10,"5,763","4,216","9,979"
2005,11,"6,621","4,685","11,306"
2005,12,"6,948","5,204","12,152"
2005,TOTAL,"78,097","59,705","137,802"
2006,1,"7,077","5,415","12,492"
2006,2,"6,409","4,904","11,313"
2006,3,"7,275","5,353","12,628"
2006,4,"6,889","5,011","11,900"
2006,5,"6,821","4,982","11,803"
2006,6,"6,478","4,939","11,417"
2006,7,"6,677","5,281","11,958"
2006,8,"6,490","5,171","11,661"
2006,9,"6,029","4,633","10,662"
2006,10,"6,259","4,662","10,921"
2006,11,"6,173","4,686","10,859"
2006,12,"6,584","5,273","11,857"
2006,TOTAL,"79,161","60,310","139,471"
2007,1,"6,942","5,240","12,182"
2007,2,"6,360","4,650","11,010"
2007,3,"7,089","5,137","12,226"
2007,4,"6,787","4,864","11,651"
2007,5,"6,785","5,011","11,796"
2007,6,"6,465","4,988","11,453"
2007,7,"6,618","5,264","11,882"
2007,8,"6,596","5,200","11,796"
2007,9,"6,204","4,673","10,877"
2007,10,"6,414","4,678","11,092"
2007,11,"6,410","4,694","11,104"
2007,12,"6,744","5,251","11,995"
2007,TOTAL,"79,414","59,650","139,064"
2008,1,"6,901","5,115","12,016"
2008,2,"6,509","4,886","11,395"
2008,3,"6,995","5,167","12,162"
2008,4,"6,586","4,920","11,506"
2008,5,"6,519","5,039","11,558"
2008,6,"6,202","4,993","11,195"
2008,7,"6,314","5,268","11,582"
2008,8,"6,145","5,289","11,434"
2008,9,"5,569","4,563","10,132"
2008,10,"5,840","4,664","10,504"
2008,11,"5,929","4,976","10,905"
2008,12,"6,179","5,330","11,509"
2008,TOTAL,"75,688","60,210","135,898"
2009,1,"6,229","5,369","11,598"
2009,2,"5,660","4,697","10,357"
2009,3,"6,308","5,108","11,416"
2009,4,"6,039","4,858","10,897"
2009,5,"6,104","4,867","10,971"
2009,6,"5,854","4,815","10,669"
2009,7,"6,111","5,190","11,301"
2009,8,"6,066","5,137","11,203"
2009,9,"5,531","4,485","10,016"
2009,10,"5,807","4,657","10,464"
2009,11,"5,833","4,841","10,674"
2009,12,"6,380","5,592","11,972"
2009,TOTAL,"71,922","59,616","131,538"
2010,1,"6,515","5,530","12,045"
2010,2,"5,828","5,011","10,839"
2010,3,"6,592","5,459","12,051"
2010,4,"6,439","5,225","11,664"
2010,5,"6,596","5,359","11,955"
2010,6,"6,314","5,267","11,581"
2010,7,"6,631","5,672","12,303"
2010,8,"6,494","5,483","11,977"
2010,9,"6,098","4,576","10,674"
2010,10,"6,391","4,783","11,174"
2010,11,"6,705","4,887","11,592"
2010,12,"7,472","5,610","13,082"
2010,TOTAL,"78,075","62,862","140,937"
2011,1,"7,391","5,622","13,013"
2011,2,"6,700","5,012","11,712"
2011,3,"7,339","5,367","12,706"
2011,4,"7,167","5,286","12,453"
2011,5,"7,247","5,302","12,549"
2011,6,"6,928","5,326","12,254"
2011,7,"7,164","5,813","12,977"
2011,8,"6,794","5,475","12,269"
2011,9,"6,405","4,959","11,364"
2011,10,"6,623","5,076","11,699"
2011,11,"6,749","5,217","11,966"
2011,12,"7,478","6,033","13,511"
2011,TOTAL,"83,985","64,488","148,473"
2012,1,"7,426","5,996","13,422"
2012,2,"6,900","5,433","12,333"
2012,3,"7,364","5,848","13,212"
2012,4,"6,818","5,449","12,267"
2012,5,"6,728","5,508","12,236"
2012,6,"6,508","5,497","12,005"
2012,7,"6,695","5,954","12,649"
2012,8,"6,336","5,545","11,881"
2012,9,"5,850","4,998","10,848"
2012,10,"5,977","5,117","11,094"
2012,11,"6,365","5,517","11,882"
2012,12,"7,123","6,245","13,368"
2012,TOTAL,"80,090","67,107","147,197"
2013,1,"7,252","6,351","13,603"
2013,2,"6,539","5,643","12,182"
2013,3,"7,438","6,273","13,711"
2013,4,"6,792","5,829","12,621"
2013,5,"6,911","6,022","12,933"
2013,6,"6,715","5,886","12,601"
2013,7,"6,916","6,333","13,249"
2013,8,"6,870","6,151","13,021"
2013,9,"6,166","5,083","11,249"
2013,10,"6,549","5,271","11,820"
2013,11,"6,539","5,524","12,063"
2013,12,"7,429","6,500","13,929"
2013,TOTAL,"82,116","70,866","152,982"
2014,1,"7,322","6,451","13,773"
2014,2,"6,707","5,547","12,254"
2014,3,"7,695","6,218","13,913"
2014,4,"7,143","5,978","13,121"
2014,5,"7,200","5,902","13,102"
2014,6,"6,790","5,972","12,762"
2014,7,"6,960","6,326","13,286"
2014,8,"6,831","5,954","12,785"
2014,9,"6,237","5,029","11,266"
2014,10,"6,708","5,225","11,933"
2014,11,"6,757","5,693","12,450"
2014,12,"7,550","6,392","13,942"
2014,TOTAL,"83,900","70,687","154,587"
2015,1,"7,460","6,447","13,907"
2015,2,"6,609","5,689","12,298"
2015,3,"7,655","6,096","13,751"
2015,4,"7,434","5,910","13,344"
2015,5,"7,451","5,936","13,387"
2015,6,"7,086","6,114","13,200"
2015,7,"7,259","6,459","13,718"
2015,8,"7,188","6,185","13,373"
2015,9,"6,561","5,393","11,954"
2015,10,"6,931","5,672","12,603"
2015,11,"6,847","5,815","12,662"
2015,12,"7,627","6,670","14,297"
2015,TOTAL,"86,108","72,386","158,494"
2016,1,"7,394","6,486","13,880"
2016,2,"7,077","5,838","12,915"
2016,3,"7,807","6,389","14,196"
2016,4,"7,347","5,987","13,334"
2016,5,"7,490","5,846","13,336"
2016,6,"7,089","5,952","13,041"
2016,7,"7,384","6,389","13,773"
2016,8,"7,142","6,090","13,232"
2016,9,"6,468","5,394","11,862"
2016,10,"6,551","5,468","12,019"
2016,11,"6,880","5,820","12,700"
2016,12,"7,508","6,953","14,461"
2016,TOTAL,"86,137","72,612","158,749"
2017,1,"7,480","6,728","14,208"
2017,2,"6,728","5,770","12,498"
2017,3,"7,695","6,382","14,077"
2017,4,"7,534","6,183","13,717"
2017,5,"7,690","6,103","13,793"
2017,6,"7,358","6,076","13,434"
2017,7,"7,677","6,517","14,194"
2017,8,"7,461","6,355","13,816"
2017,9,"5,298","4,313","9,611"
2017,10,"7,339","5,573","12,912"
2017,11,"7,286","5,771","13,057"
2017,12,"7,898","6,489","14,387"
2017,TOTAL,"87,444","72,260","159,704"
2018,1,"7,779","6,377","14,156"
2018,2,"7,100","5,568","12,668"
2018,3,"7,825","6,284","14,109"
2018,4,"7,382","5,961","13,343"
2018,5,"7,383","6,001","13,384"
2018,6,"7,191","5,962","13,153"
2018,7,"7,392","6,248","13,640"
2018,8,"7,229","6,103","13,332"
2018,9,"6,679","5,350","12,029"
2018,10,"6,927","5,661","12,588"
2018,11,"6,836","5,881","12,717"
2018,12,"7,719","6,617","14,336"
2018,TOTAL,"87,442","72,013","159,455"
2019,1,"7,892","6,799","14,691"
2019,2,"7,243","6,026","13,269"
2019,3,"8,044","6,500","14,544"
2019,4,"7,059","6,370","13,429"
2019,5,"7,370","5,791","13,161"
2019,6,"7,026","5,936","12,962"
2019,7,"7,283","6,286","13,569"
2019,8,"7,170","6,126","13,296"
2019,9,"6,745","4,942","11,687"
2019,10,"7,195","5,238","12,433"
2019,11,"7,112","5,389","12,501"
2019,12,"8,409","5,879","14,288"
2019,TOTAL,"88,548","71,282","159,830"
2020,1,"8,383","6,027","14,410"
2020,2,"7,828","5,539","13,367"
2020,3,"7,017","3,848","10,865"
2020,4,"2,179",190,"2,369"
2020,5,"1,501",160,"1,661"
2020,6,"2,982",357,"3,339"
2020,7,"4,708",849,"5,557"
2020,8,"3,616","1,033","4,649"
2020,9,"2,951","1,037","3,988"
2020,10,"3,175","1,673","4,848"
2020,11,"4,510","2,429","6,939"
2020,12,"5,182","3,077","8,259"
2020,TOTAL,"54,032","26,219","80,251"
2021,1,"5,152","3,254","8,406"
2021,2,"4,886","2,971","7,857"
2021,3,"7,051","3,651","10,702"
2021,4,"7,509","3,687","11,196"
2021,5,"8,104","3,912","12,016"
2021,6,"7,896","4,372","12,268"
2021,7,"8,247","4,732","12,979"
2021,8,"7,741","4,335","12,076"
2021,9,"6,786","3,669","10,455"
2021,10,"8,071","4,031","12,102"
2021,11,"9,386","4,410","13,796"
2021,12,"10,257","5,516","15,773"
2021,TOTAL,"91,086","48,540","139,626"
2022,1,"9,766","5,506","15,272"
2022,2,"8,900","4,867","13,767"
2022,3,"9,957","5,700","15,657"
2022,4,"9,070","5,658","14,728"
2022,5,"9,701","5,674","15,375"
2022,6,"8,156","5,296","13,452"
2022,7,"8,682","5,600","14,282"
2022,8,"8,303","5,496","13,799"
2022,9,"7,557","4,637","12,194"
2022,10,"8,058","5,059","13,117"
2022,11,"7,884","5,653","13,537"
2022,12,"8,332","6,198","14,530"
2022,TOTAL,"104,366","65,344","169,710"
2023,1,"8,636","6,240","14,876"
2023,2,"8,009","5,523","13,532"
2023,3,"8,963","6,110","15,073"
2023,4,"8,466","5,625","14,091"
2023,5,"8,659","5,618","14,277"
2023,6,"7,985","5,695","13,680"
2023,7,"8,464","6,052","14,516"
2023,8,"8,385","5,934","14,319"
2023,9,"7,493","4,966","12,459"
2023,10,"8,159","5,410","13,569"
2023,11,"8,889","5,807","14,696"
2023,12,"9,937","6,600","16,537"
2023,TOTAL,"102,045","69,580","171,625"
2024,1,"10,047","6,747","16,794"
2024,2,"9,593","6,249","15,842"
2024,3,"10,412","6,600","17,012"
2024,4,"9,574","6,139","15,713"
2024,5,"9,484","6,235","15,719"
2024,6,"8,222","6,170","14,392"
2024,7,"8,596","6,466","15,062"
2024,8,"8,137","6,271","14,408"
2024,9,"7,553","4,774","12,327"
2024,10,"8,165","5,391","13,556"
2024,11,"8,998","5,430","14,428"
2024,TOTAL,"98,781","66,472","165,253"
,,,,
Note: All numbers are for scheduled services.,,,,
,,,,
SOURCE: Bureau of Transportation Statistics T-100 Segment data.,,,,
